Sorszám;Megye;Járás;Járáshoz tartozó települések
120.;;Monor;Bénye, Csévharaszt, Gomba, Gyömrõ, Káva, Maglód, Monor, Monorierdõ, Nyáregyháza, Péteri, Pilis, Üllõ, Vasad
121.;;Nagykáta;Farmos, Kóka, Mende, Nagykáta, Pánd, Sülysáp, Szentlõrinckáta, Szentmártonkáta, Tápióbicske, Tápiógyörgye, Tápióság, Tápiószecsõ, Tápiószele, Tápiószentmárton, Tóalmás, Úri,
122.;;Pilisvörösvár;Perbál, Pilisborosjenõ, Piliscsaba, Pilisjászfalu, Pilisvörösvár, Pilisszántó, Pilisszentiván, Solymár, Tinnye, Tök, Üröm
123.;;Ráckeve;Apaj, Áporka, Dömsöd, Kiskunlacháza, Lórév, Makád, Ráckeve, Szigetbecse, Szigetszentmárton, Szigetújfalu
124.;;Szentendre;Budakalász, Csobánka, Dunabogdány, Kisoroszi, Leányfalu, Pilisszentkereszt, Pilisszentlászló, Pócsmegyer, Pomáz, Szentendre, Szigetmonostor, Tahitótfalu, Visegrád
125.;;Szigetszentmiklós;Délegyháza, Dunaharaszti, Dunavarsány, Halásztelek, Majosháza, Szigetcsép, Szigethalom, Szigetszentmiklós, Taksony, Tököl
126.;;Szob;Bernecebaráti, Ipolydamásd, Ipolytölgyes, Kemence, Kóspallag, Letkés, Márianosztra, Nagybörzsöny, Perõcsény, Szob, Tésa, Vámosmikola, Zebegény
127.;;Vác;Acsa, Csörög, Csõvár, Galgagyörk, Kismaros, Kisnémedi, Kosd, Nagymaros, Penc, Püspökhatvan, Püspökszilágy, Rád, Szokolya, Szõd, Szõdliget, Vác, Vácduka, Váchartyán, Vácrátót, Verõce
128.;Somogy;Barcs;Babócsa, Barcs, Bolhó, Csokonyavisonta, Darány, Drávagárdony, Drávatamási, Heresznye, Homokszentgyörgy, Istvándi, Kálmáncsa, Kastélyosdombó, Komlósd, Lad, Lakócsa, Patosfa, Péterhida, Potony, Rinyaújlak, Somogyaracs, Szentborbás, Szulok, Tótújfalu
129.;;Csurgó;Bélavár, Berzence, Csurgó, Csurgónagymarton, Gyékényes, Iharos, Iharosberény, Inke, Õrtilos, Pogányszentpéter, Porrog, Porrogszentkirály, Porrogszentpál, Somogybükkösd, Somogycsicsó, Somogyudvarhely, Szenta, Vízvár, Zákány, Zákányfalu
130.;;Fonyód;Balatonboglár, Balatonfenyves, Balatonkeresztúr, Balatonlelle, Balatonmáriafürdõ, Balatonõszöd, Balatonszemes, Buzsák, Fonyód, Gamás,Gyugy, Hács, Kisberény, Kötcse, Látrány, Lengyeltóti, Nagycsepely, Ordacsehi, Öreglak, Pamuk, Somogybabod, Somogytúr, Somogyvámos, Somogyvár, Szólád, Szõlõsgyörök, Teleki, Visz
131.;;Kaposvár;Alsóbogát, Bárdudvarnok, Baté, Bodrog, Bõszénfa, Büssü, Cserénfa, Csoma, Csombárd, Csököly, Ecseny, Edde, Felsõmocsolád, Fonó, Gadács, Gálosfa, Gige, Gölle, Hajmás, Hedrehely, Hencse, Hetes, Igal, Jákó, Juta, Kadarkút, Kaposfõ, Kaposgyarmat, Kaposhomok, Kaposkeresztúr, Kaposmérõ, Kaposújlak, Kaposvár, Kaposszerdahely, Kazsok, Kercseliget, Kisasszond, Kisgyalán, Kiskorpád, Kõkút, Magyaratád, Magyaregres, Mernye, Mezõcsokonya, Mosdós, Nagybajom, Nagyberki, Orci, Osztopán, Pálmajor, Patalom, Patca, Polány, Ráksi, Rinyakovácsi, Sántos, Simonfa, Somodor, Somogyaszaló, Somogygeszti, Somogyjád, Somogysárd, Somogyszil, Szabadi, Szenna, Szentbalázs, Szentgáloskér, Szilvásszentmárton, Taszár, Újvárfalva, Várda, Visnye, Zimány, Zselickisfalud, Zselickislak, Zselicszentpál
132.;;Marcali;Balatonberény, Balatonszentgyörgy, Balatonújlak, Böhönye, Csákány, Csömend, Fõnyed, Gadány, Hollád, Hosszúvíz, Kelevíz, Kéthely, Libickozma, Marcali, Mesztegnyõ, Nagyszakácsi, Nemesdéd, Nemeskisfalud, Nemesvid, Nikla, Pusztakovácsi, Sávoly, Somogyfajsz, Somogysámson, Somogysimonyi, Somogyszentpál, Somogyzsitfa, Szegerdõ, Szenyér, Szõkedencs, Tapsony, Táska, Tikos, Varászló, Vése, Vörs
133.;;Nagyatád;Bakháza, Beleg, Bolhás, Görgeteg, Háromfa, Kaszó, Kisbajom, Kutas, Lábod, Mike, Nagyatád, Nagykorpád, Ötvöskónyi, Rinyabesenyõ, Rinyaszentkirály, Rinyaújnép, Segesd, Somogyszob, Szabás, Tarany
134.;;Siófok;Ádánd, Balatonendréd, Balatonföldvár, Balatonszabadi, Balatonszárszó, Bálványos, Kõröshegy, Nagyberény, Nyim, Ságvár, Siófok, Siójut, Som, Szántód, Zamárdi
135.;;Tab;Andocs, Bábonymegyer, Bedegkér, Bonnya, Fiad, Kánya, Kapoly, Kára, Karád, Kereki, Kisbárapáti, Lulla, Miklósi, Nágocs, Pusztaszemes, Sérsekszõlõs, Somogyacsa, Somogydöröcske, Somogyegres, Somogymeggyes, Szorosad, Tab, Tengõd, Torvaj, Törökkoppány, Zala, Zics
136.;Szabolcs-Szatmár-Bereg;Baktalórántháza;Baktalórántháza, Besenyõd, Laskod, Levelek, Magy, Nyíribrony, Nyírjákó, Nyírkércs, Ófehértó ,Petneháza, Ramocsaháza, Rohod
137.;;Csenger;"Csenger,Csengersima,Csengerújfalu,Komlódtótfalu, Pátyod,Porcsalma, Szamosangyalos, Szamosbecs
Szamostatárfalva, Tyukod, Ura"
138.;;Fehérgyarmat;"Botpalád, Cégénydányád, Csaholc, Császló, Csegöld, Darnó, Fehérgyarmat, Fülesd, Gacsály, Garbolc, Gyügye, Hermánszeg, Jánkmajtis, Kérsemjén, Kisar, Kishódos, Kisnamény, Kispalád, Kisszekeres, Kölcse, Kömörõ, Magosliget, Mánd, Méhtelek, Milota, Nábrád, Nagyar, Nagyhódos, Nagyszekeres, Nemesborzova, Olcsvaapáti, Panyola, Penyige, Rozsály, 
Sonkád, Szamoskér, Szamossályi, Szamosújlak, Szatmárcseke, Tarpa, Tiszabecs, Tiszacsécse, Tiszakóród, Tisztaberek, Tivadar, Tunyogmatolcs, Túristvándi, Túrricse, Uszka, Vámosoroszi, Zajta, Zsarolyán"
139.;;Kisvárda;Ajak, Anarcs, Dombrád, Döge, Fényeslitke, Gyulaháza, Jéke, Kékcse, Kisvárda, Lövõpetri, Mezõladány, Nyírkarász, Nyírlövõ, Nyírtass, Pap,Pátroha, Rétközberencs, Szabolcsbáka, Szabolcsveresmart, Tiszakanyár, Tornyospálca, Újdombrád, Újkenéz
140.;;Mátészalka;Fábiánháza, Fülpösdaróc, Géberjén, Gyõrtelek, Hodász, Jármi, Kántorjánosi, Kocsord, Mátészalka, Mérk, Nagydobos, Nagyecsed,, Nyírcsaholy, Nyírkáta, Nyírmeggyes, Nyírparasznya, Ópályi, Ököritófülpös, Õr, Papos, Rápolt, Szamosszeg, Tiborszállás, Vaja, Vállaj
141.;;Nagykálló;Balkány, Biri, Bököny, Érpatak, Geszteréd, Kállósemjén, Nagykálló, Szakoly
142.;;Nyírbátor;Bátorliget, Encsencs, Kisléta, Máriapócs, Nyírbátor, Nyírbéltek, Nyírbogát, Nyírcsászári, Nyírderzs, Nyírgelse, Nyírgyulaj, Nyírlugos, Nyírmihálydi, Nyírpilis, Nyírvasvári, Ömböly, Penészlek, Piricse, Pócspetri, Terem
143.;;Nyíregyháza;Apagy, Balsa, Buj, Gávavencsellõ,  Ibrány, Kálmánháza,  Kótaj, Nagycserkesz, Nagyhalász, Napkor,  Nyíregyháza, Nyírpazony, Nyírtelek, Nyírtét, Nyírtura, Paszab, Rakamaz, Sényõ, Szabolcs,  Timár, Tiszabercel, Tiszanagyfalu,  Tiszatelek, Újfehértó, Apagy, Balsa, 
144.;;Kemecse; Berkesz, Beszterec, Demecser, Gégény, Kemecse, Kék, Nyírbogdány, Székely, Tiszarád, Vasmegyer
145.;;Tiszavasvári;Szorgalmatos, Tiszadada, Tiszadob, Tiszaeszlár, Tiszalök, Tiszavasvári
146.;;Vásárosnamény;Aranyosapáti, Barabás, Beregdaróc, Beregsurány, Csaroda, Gelénes, Gemzse, Gulács, Gyüre, Hetefejércse, Ilk, Jánd, Kisvarsány, Lónya, Márokpapi, Mátyus, Nagyvarsány, Nyírmada, Olcsva, Pusztadobos, Tákos, Tiszaadony, Tiszakerecseny, Tiszaszalka, Tiszavid, Vámosatya, Vásárosnamény
147.;;Záhony;Benk, Eperjeske, Gyõröcske, Komoró, Mándok, Tiszabezdéd, Tiszamogyorós, Tiszaszentmárton, Tuzsér, Záhony, Zsurk
148.;Tolna;Bonyhád;Aparhant, Bátaapáti, Bonyhád, Bonyhádvarasd, Cikó, Felsõnána, Grábóc, Györe, Izmény,Kakasd, Kéty, Kisdorog, Kismányok, Kisvejke, Lengyel, Mórágy, Mõcsény, Mucsfa, Murga, Nagymányok, Nagyvejke, Tevel, Váralja, Závod, Zomba
149.;;Dombóvár;Attala, Csibrák, Csikóstõttõs, Dalmand, Dombóvár, Döbrököz, Gyulaj, Jágónak, Kapospula, Kaposszekcsõ, Kocsola, Kurd, Lápafõ, Nak, Szakcs, Várong
150.;;Paks;Bikács, Bölcske, Dunaföldvár,  Györköny, Kajdacs, Madocsa, Nagydorog, Németkér, Paks, Pálfa, Pusztahencse, Sárszentlõrinc
151.;;Szekszárd;Alsónána, Alsónyék, Báta, Bátaszék,Decs,     Õcsény, Pörböly, Sárpilis, Szálka,  Szekszárd,   Várdomb
152.;;Tamási;Belecska, Diósberény, Dúzs, Értény, Felsõnyék, Fürged, Gyönk, Hõgyész, Iregszemcse, Kalaznó, Keszõhidegkút, Kisszékely, Koppányszántó, Magyarkeszi, Miszla, Mucsi, Nagykónyi, Nagyszékely, Nagyszokoly, Ozora, Pári, Pincehely, Regöly, Simontornya, Szakadát, Szakály, Szárazd, Tamási, Tolnanémedi, Udvari, Újireg, Varsád
153.;;Tolna;Bogyiszló, Dunaszentgyörgy, Fácánkert, Fadd, Gerjen,  Harc,  Kölesd, Kistormás, Medina, Sioagárd, Szedres, Tengelic, Tolna
154.;Vas;Celldömölk;Boba, Borgáta, Celldömölk, Csönge, Duka, Egyházashetye, Jánosháza, Karakó, Keléd, Kemeneskápolna, Kemenesmagasi, Kemenesmihályfa, Kemenespálfa, Kemenessömjén, Kemenesszentmárton, Kenyeri, Kissomlyó, Köcsk, Mersevát, Mesteri, Nagysimonyi, Nemeskeresztúr, Nemeskocs, Ostffyasszonyfa, Pápoc, Szergény, Tokorcs, Vönöck
155.;;Körmend;Csákánydoroszló, Daraboshegy, Döbörhegy, Döröske, Egyházashollós, Egyházasrádóc, Felsõjánosfa, Felsõmarác, Halastó, Halogy, Harasztifalu, Hegyháthodász, Hegyhátsál, Hegyhátszentjakab, Hegyhátszentmárton, Ivánc, Katafa, Kemestaródfa, Kisrákos, Körmend, Magyarnádalja, Magyarszecsõd, Molnaszecsõd, Nádasd, Nagykölked, Nagymizdó, Nemesrempehollós, Õrimagyarósd, Pankasz, Pinkamindszent, Rádóckölked, Szaknyér, Szarvaskend, Szõce, Vasalja, Viszák     
156.;;Kõszeg;Bozsok, Bük, Cák, Csepreg, Horvátzsidány, Iklanberény, Kiszsidány, Kõszeg, Kõszegdoroszló, Kõszegpaty, Kõszegszerdahely, Lócs, Lukácsháza, Nemescsó, Ólmod, Peresznye, Pusztacsó, Tormásliget, Velem
157.;;Sárvár;Bejcgyertyános, Bõ, Bögöt, Bögöte, Chernelházadamonya, Csánig, Csénye, Egervölgy, Gérce, Gór, Hegyfalu, Hosszúpereszteg, Ikervár, Jákfa, Káld, Megyehíd, Meggyeskovácsi, Mesterháza, Nagygeresd, Nemesládony, Nick, Nyõgér, Ölbõ, Porpác, Pósfa, Rábapaty, Répcelak, Répceszentgyörgy, Sajtoskál, Sárvár, Simaság, Sitke, Sótony, Szeleste, Tompaládony, Uraiújfalu, Vámoscsalád, Vásárosmiske, Vasegerszeg, Vashosszúfalu, Zsédeny
158.;;Szentgotthárd;Alsószölnök, Apátistvánfalva, Bajánsenye, Csörötnek, Felsõszölnök, Gasztony, Ispánk, Kercaszomor, Kerkáskápolna, Kétvölgy, Kondorfa, Magyarlak, Magyarszombatfa, Nagyrákos, Nemesmedves, Orfalu, Õriszentpéter, Rábagyarmat, Rátót, Rönök, Szakonyfalu, Szalafõ, Szatta, Szentgotthárd, Vasszentmihály, Velemér
159.;;Szombathely;Acsád, Balogunyom, Bozzai, Bucsu, Csempeszkopács, Dozmat, Felsõcsatár, Gencsapáti, Gyanógeregye, Gyöngyösfalu, Horvátlövõ, Ják, Kenéz, Kisunyom, Meszlen, Nárai, Narda, Nemesbõd, Nemeskolta, Pecöl, Perenye, Pornóapáti, Rábatöttös, Rum, Salköveskút, Sé, Sorkifalud, Sorkikápolna, Sorokpolány, Söpte, Szentpéterfa, Szombathely, Tanakajd, Táplánszentkereszt, Torony, Tömörd, Vasasszonyfa, Vaskeresztes, Vassurány, Vasszécseny, Vasszilvágy, Vát, Vép, Zsennye
160.;;Vasvár;Alsóújlak, Andrásfa, Bérbaltavár, Csehi, Csehimindszent, Csipkerek, Gersekarát, Gyõrvár, Hegyhátszentpéter, Kám, Mikosszéplak, Nagytilaj, Olaszfa, Oszkó, Pácsony, Petõmihályfa, Püspökmolnári, Rábahídvég, Sárfimizdó, Szemenye, Telekes, Vasvár
161.;Veszprém;Ajka;Ajka,  Csehbánya, ,Farkasgyepû, Halimba,  Kislõd,  Magyarpolány, Nyirád,  Öcs, Pula, Szõc,  Úrkút, Városlõd
162.;;Balatonfüred;Alsóörs, Aszófõ, Balatonakali, Balatonalmádi, Balatonfõkajár, Balatonfûzfõ, Balatonkenese, Balatoncsicsó, Balatonfüred, Balatonszepezd, Balatonszõlõs, Balatonudvari, Balatonvilágos, Barnag, Csopak, Dörgicse, Lovas, Monoszló, Óbudavár, Örvényes, Paloznak, Pécsely, Szentantalfa, Szentjakabfa, Tagyon, Tihany, Vászoly, Vöröstó, Zánka
163.;;Pápa;"Adásztevel,  Bakonyjákó, Bakonykoppány, Bakonypölöske, Bakonyság, Bakonyszentiván, Bakonyszücs, 
Bakonytamási, Béb, Békás, Csót,  Dáka, Döbrönte,  Egyházaskeszõ, Ganna, Gecse, Gic, Homokbödöge, Kemeneshõgyész, Kemenesszentpéter, Kup, Külsõvat, Lovászpatona, Magyargencs, Malomsok, Marcalgergelyi, Marcaltõ, Mezõlak, Mihályháza, Nagyacsád,  Nagydém, Nagygyimót, Nagytevel, Nemesgörzsöny, Nemesszalók, Németbánya, Nóráp, Nyárád, 
Pápa, Pápadereske, Pápakovácsi, Pápasalamon, Pápateszér, Takácsi, Ugod, Vanyola, Várkeszõ, Vaszar, Vinár"
164.;;Sümeg;Bazsi, Bodorfa, Csabrendek, Dabronc, Gógánfa, Gyepükaján, Hetyefõ, Hosztót,  Káptalanfa,    Megyer, Nemeshany, Rigács, Sümeg, Sümegprága, Szentimrefalva, Ukk, Veszprémgalsa, Zalaerdõd, Zalagyömörõ, Zalameggyes, Zalaszegvár
165.;;Tapolca;"Ábrahámhegy, Badacsonytomaj, Badacsonytördemic, Balatonederics, Balatonhenye, Balatonrendes, Gyulakeszi, Hegyesd, Hegymagas,
Kapolcs, Káptalantóti,Kékkút, Kisapáti,Kõvágóörs, Köveskál, Lesencefalu, Lesenceistvánd, Lesencetomaj, Mindszentkálla, Monostorapáti, Nemesgulács, Nemesvita, Raposka, Révfülöp, Salföld, Sáska, Szentbékkálla, Szigliget, Taliándörögd, Tapolca, Uzsa, Vigántpetend, Zalahaláp"
166.;;Várpalota;Berhida, Csajág, Jásd, Küngös, Õsi, Öskü, Papkeszi, Pétfürdõ, Tés, Várpalota
167.;;Veszprém;Bánd, Felsõörs, Hajmáskér, Hárskút, Herend, Hidegkút, Királyszentistván, Litér, Márkó, Mencshely, Nagyvázsony, Nemesvámos, Sóly, Szentgál, Szentkirályszabadja, Tótvázsony, Veszprém, Veszprémfajsz,Vilonya
168.;;Zirc;Bakonybél, Bakonynána, Bakonyoszlop, Bakonyszentkirály, Borzavár, Csesznek, Csetény, Dudar, Eplény, Lókút, Nagyesztergár, Olaszfalu, Pénzesgyõr, Porva, Szápár, Zirc
169.;;Devecser; Adorjánháza, Apácatorna, Borszörcsök,Csögle, Dabrony, Devecser,Doba, Egeralja,Iszkáz, Kamond,Karakószörcsök, Kerta,Kisberzseny, Kiscsõsz, Kispirit, Kisszõlõs, Kolontár,Nagyalásony, Nagypirit, Noszlop,Oroszi, Pusztamiske, Somlójenõ,Somlószõlõs, Somlóvásárhely,Somlóvecse,Tüskevár, Vid
170.;Zala;Keszthely;Alsópáhok, Balatongyörök, Bókaháza, Cserszegtomaj, Dióskál, Egeraracsa, Esztergályhorváti, Felsõpáhok, Gétye, Gyenesdiás, Hévíz, Karmacs, Keszthely, Nemesbük, Pacsa, Rezi, Sármellék, Szentgyörgyvár, Szentpéterúr, Vállus, Várvölgy, Vindornyafok, Vindornyalak, Vindornyaszõlõs, Vonyarcvashegy, Zalaapáti, Zalacsány, Zalaigrice, Zalaköveskút, Zalaszabar, Zalaszántó, Zalaszentmárton, Zalavár
171.;;Lenti;"Alsószenterzsébet, Baglad, Barlahida, Belsõsárd, Bödeháza, Csertalakos, Csesztreg, Csömödér, Dobri, Felsõszenterzsébet
Gáborjánháza, Gosztolam, Gutorfölde, Hernyék, Iklódbördõce, Kálócfa, Kányavár, Kerkabarabás, Kerkafalva, Kerkakutas, Kerkateskánd, Kissziget, Kozmadombja, Külsõsárd, Lendvadedes, Lendvajakabfa, Lenti, Lovászi, Magyarföld, Márokföld, Mikekarácsonyfa, Nemesnép, Nova, Ortaháza, Páka, Pórszombat, Pördefölde, Pusztaapáti, Ramocsa, Rédics, Resznek, Szécsisziget, Szentgyörgyvölgy, Szentpéterfölde, Szijártóháza, Szilvágy, Tormafölde, Tornyiszentmiklós, Zalabaksa, Zalaszombatfa, Zebecke"
172.;;Letenye;Bánokszentgyörgy, Bázakerettye, Becsehely, Borsfa, Bucsuta, Csörnyeföld, Kerkaszentkirály, Kiscsehi, Kistolmács, Lasztonya, Letenye, Lispeszentadorján, Maróc, Molnári, Murarátka, Muraszemenye, Oltárc, Pusztamagyaród, Semjénháza, Szentliszló, Szentmargitfalva, Tótszentmárton, Tótszerdahely, Valkonya, Várfölde, Zajk
173.;;Nagykanizsa;Alsórajk, Balatonmagyaród, Belezna, Bocska, Börzönce, Csapi, Eszteregnye, Felsõrajk, Fityeház, Fûzvölgy, Galambok, Garabonc, Gelse, Gelsesziget, Hahót, Homokkomárom, Hosszúvölgy, Kacorlak, Kerecseny, Kilimán, Kisrécse, Liszó, Magyarszentmiklós, Magyarszerdahely, Miháld, Murakeresztúr, Nagybakónak, Nagykanizsa, Nagyrada, Nagyrécse, Nemespátró, Orosztony, Pat, Petrivente, Pölöskefõ, Pötréte, Rigyác, Sand, Sormás, Surd, Szepetnek, Újudvar, Zalakaros, Zalakomár, Zalamerenye, Zalasárszeg, Zalaszentbalázs, Zalaszentjakab, Zalaújlak
174.;;Zalaegerszeg;Alibánfa, Almásháza, Alsónemesapáti, Babosdöbréte, Bagod, Bak, Baktüttös, Becsvölgye, Bezeréd, Bocfölde, Boncodfölde, Böde, Búcsúszentlászló, Csatár, Csonkahegyhát, Csöde, Dobronhegy, Egervár, Gellénháza, Gombosszeg, Gõsfa, Gyûrûs, Hagyárosbörönd, Hottó, Iborfia, Kávás, Kemendollár, Keménfa, Kisbucsa, Kiskutas, Kispáli, Kustánszeg, Lakhegy, Lickóvadamos, Ligetfalva, Milejszeg, Misefa, Nagykapornak, Nagykutas, Nagylengyel, Nagypáli, Nemesapáti, Nemeshetés, Nemesrádó, Nemessándorháza, Nemesszentandrás, Németfalu, Orbányosfa, Ormándlak, Ozmánbük, Padár, Pálfiszeg, Pethõhenye, Petrikeresztúr, Pókaszepetk, Pölöske, Pusztaederics, Pusztaszentlászló, Salomvár, Sárhida, Söjtör, Szentkozmadombja, Teskánd, Tilaj, Tófej, Vasboldogasszony, Vaspör, Vöckönd, Zalaboldogfa, Zalacséb, Zalaegerszeg, Zalaháshágy, Zalaistvánd, Zalalövõ, Zalaszentgyörgy, Zalaszentiván, Zalaszentlõrinc, Zalaszentmihály, Zalatárnok
175.;;Zalaszentgrót;Batyk, Döbröce, Dötk, Kallósd, Kehidakustány, Kisgörbõ, Kisvásárhely, Mihályfa, Nagygörbõ, Óhíd, Pakod, Sénye, Sümegcsehi, Szalapa, Tekenye, Türje, Zalabér, Zalaszentgrót, Zalaszentlászló, Zalavég
;;;
;;;
